text,label
M'ani gye nhwehwɛmu yi ho paa,positive
Bukuu yi ma me koma tɔ me yam,positive
Kurom ha asetena ma me koma tɔ me yam,positive
Nnipa a wɔwɔ me ho no yɛ pa,positive
Adwuma yi ma me koma tɔ me yam,positive
Sukuupɔw yi yɛ me dɛ paa,positive
Krataa yi ma me koma tɔ me yam,positive
Ɛma me anigyeɛ sɛ mereyɛ kɔkɔbɔ yi,positive
Twi a woreka no tew na ɛyɛ me dɛ,positive
Me pɛ abusua afie paa,positive
Abusuafoɔ no ma me koma tɔ me yam,positive
Ɛma me anigyeɛ sɛ mereyɛ adwuma yi,positive
M'ani gye nnamfonom yi ho paa,positive
M'ani gye kurom ha asetena ho paa,positive
Film yi ma me koma tɔ me yam,positive
Me pɛ sukuuyɛ yi paa,positive
Ɛma me anigyeɛ sɛ mereyɛ bukuu yi,positive
Mepɛ m'adwumayɛfoɔ paa,positive
Ɛma me anigyeɛ sɛ mereyɛ dwom yi,positive
Me pɛ kurom ha asetena paa,positive
Ɛma me anigyeɛ sɛ mereyɛ nnamfonom yi,positive
Nhyiam no kɔɔ yie na ɛma me koma dɔ srade,positive
Ɛma me anigyeɛ sɛ mereyɛ asɔre yi,positive
Akɔdeɛ yi ma me koma tɔ me yam,positive
Training yi ma me koma tɔ me yam,positive
M'ani gye krataa yi ho paa,positive
Apɔnkyerɛ yi ma me koma tɔ me yam,positive
M'ani gye apɔnkyerɛ yi ho paa,positive
M'ani gye adwuma yi ho paa,positive
Sukuuyɛ yi ma me koma tɔ me yam,positive
Mede m'ani gye adwumayɛ yi ho,positive
Me dɔ abusuafoɔ no paa,positive
Asɛmpa yi ma me koma yɛ me dɛ,positive
M'ani gye sukuu foforɔ yi ho paa,positive
Me pɛ asɔre yi paa,positive
Ɛma me anigyeɛ sɛ mereyɛ film yi,positive
Ɛma me anigyeɛ sɛ mereyɛ abusua afie,positive
Video yi ma me koma tɔ me yam,positive
Asɔre yi ma me koma tɔ me yam,positive
Me pɛ abusuafoɔ no paa,positive
M'ani gye kɔkɔbɔ yi ho paa,positive
Abusua afie ma me koma tɔ me yam,positive
Ɛyɛ me anigye sɛ wokɔɔ no yie,positive
